iter	Passed	Remaining
0	149	14814
1	152	7465
2	154	4996
3	157	3770
4	159	3035
5	164	2583
6	168	2240
7	171	1969
8	173	1756
9	176	1588
10	179	1448
11	182	1341
12	185	1242
13	188	1156
14	190	1082
15	193	1017
16	202	987
17	205	937
18	210	897
19	215	862
20	218	822
21	221	784
22	223	749
23	226	717
24	230	691
25	233	664
26	235	638
27	238	613
28	241	590
29	243	568
30	247	551
31	250	532
32	253	515
33	256	497
34	259	481
35	263	467
36	265	452
37	268	438
38	271	424
39	275	412
40	279	402
41	285	393
42	288	382
43	292	371
44	296	362
45	299	351
46	302	340
47	304	330
48	307	320
49	311	311
50	314	302
51	318	294
52	324	287
53	327	279
54	330	270
55	333	262
56	338	255
57	343	248
58	346	240
59	349	232
60	352	225
61	357	218
62	360	211
63	363	204
64	366	197
65	369	190
66	373	183
67	376	176
68	379	170
69	384	164
70	391	159
71	394	153
72	397	146
73	399	140
74	402	134
75	406	128
76	409	122
77	412	116
78	415	110
79	418	104
80	421	98
81	427	93
82	430	88
83	433	82
84	439	77
85	443	72
86	446	66
87	450	61
88	457	56
89	461	51
90	463	45
91	466	40
92	470	35
93	473	30
94	476	25
95	480	20
96	483	14
97	487	9
98	490	4
99	493	0
